run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
0,0.4000293731231232,0.003390369374342752,20.0,59.96,29.0,9.0,1.8998148055669422,0.1997750907223219,0.9526185708962144,0.10669968359859297,0.19724901674845366,0.37114602753008186,0.0004804616096214504,0.0061772454777470264,0.020252516805161033,0.0011754159473246443,0.029533392576321964,0.0496124891680324,8.036459684447454,12.036328192746796,8.238810709736883,20.0,59.96,-3.0,0.0,0.4419614570099963,-0.010903278333218852,-0.016288574697438614,0.030768394924623806,0.021680961788752173,0.008664650245265089,1.044922166613571e-05,-0.00011961054589484204,-1.2252250391735295e-05,0.0007458238561156698
1,0.40002902902902915,0.0034120891386181583,20.0,59.96,29.0,9.0,1.899778849758486,0.19771995208496257,0.9508526107604327,0.10491538688094504,0.1940532065785064,0.3669182131802382,0.0007624240309702265,0.010963217868037526,0.019813796338677452,0.0018649662048643627,0.03524542175273926,0.048541398660092216,8.014478887140179,15.899781530568207,8.249499115392764,20.0,59.96,-2.75,0.0,0.4470324118584003,-0.01256556562505496,-0.01600600605419717,0.028773885592160323,0.021072886174008557,0.00881869915592267,-1.1271382377756262e-06,-8.476251942881574e-05,2.482298530913859e-07,0.0006748017875809048
2,0.4000266203703704,0.0034779293238688773,20.0,59.96,29.0,9.0,1.899836119469958,0.19705630881209826,0.9493354605609345,0.10472428709940723,0.19371686247385264,0.36702342029596385,0.0009352230349167447,0.0067995407565348345,0.011204478157458737,0.0022875825857768743,0.030071310608202596,0.027566367665934167,8.009622983338792,12.738859377484571,8.778583416144386,20.0,59.96,-2.5,0.0,0.44776110641799094,-0.014227852919483903,-0.01686835194951404,0.029266286113159373,0.02120233463613162,0.008686527409388679,1.8799426897988213e-05,-0.00010992412398879002,-3.306394856257361e-06,0.0006906686895386349
3,0.4000266203703705,0.0034633730060501036,20.0,59.96,29.0,9.0,1.8997854657241529,0.2052821533135107,0.9638525743712631,0.10695372804308555,0.198765829248653,0.36972054085107803,0.00084685070949995,0.011209257077695819,0.019089959190329922,0.002071447869961889,0.035626428383155384,0.04677446494488205,8.011736004003403,15.947610243523089,8.26877456993014,20.0,59.96,-2.25,0.0,0.3934934935956686,-0.008890265288874735,-0.020371371423339685,0.05159716113062606,0.051712264358997596,0.02868478068779608,0.00036150691203431856,-0.0001461624463971036,0.0001902355729466018,0.003079235644530028
4,0.4000285285285287,0.0034106032537054936,20.0,59.96,29.0,9.0,1.8999064442957319,0.19431851641698394,0.948986350518264,0.10503148418934334,0.19400077836339022,0.3695387890065241,0.000872335153311973,0.008524205546830923,0.01698399042236559,0.002133775609778635,0.03189946042081519,0.04163573772776878,8.011060589524297,14.516680213180877,8.339497858840785,20.0,59.96,-2.0,0.0,0.44812038574032576,-0.01798747973446912,-0.0120965077419131,0.037944360493334016,0.04164335054435661,0.01803286173162478,0.00017204328887559538,1.4764005007333818e-05,3.796780854042421e-05,0.0017566428060660066
5,0.4000295369211515,0.003425187432227029,20.0,59.95,29.0,9.0,1.899952038840828,0.1992336777861692,0.9548280312350558,0.10713680825839457,0.19830497377497963,0.37112912677372245,0.0006769073246373911,0.009923906907286338,0.02029463926797891,0.0016558229281563382,0.033721405545667674,0.049715332009965855,8.018369177744347,15.512088237988346,8.237820488853576,20.0,59.95,-1.8,0.0,0.4462023783013579,-0.026218147751760408,-0.013590988777583706,0.047570876611987715,0.06064233798517409,0.029033497400218915,-0.00019759852850735377,-0.0002165213229293872,0.0001569268979624773,0.003391288219907072
6,0.40002812187187203,0.003404352554112977,20.0,59.96,29.0,9.0,1.8997305012546744,0.19571966875295368,0.9547381970599206,0.10507250626569488,0.19435763166580947,0.3686903959544301,0.00039325370998690963,0.005885891549169663,0.012928151262134846,0.00096217523172338,0.029303653618884547,0.03175415846547478,8.054421957268108,11.709330051336748,8.58540800949596,20.0,59.96,-1.6,0.0,0.4489196699440807,-0.04948861376672633,-0.01937399905242151,0.05299397111316766,0.06699415934154257,0.03965175519752916,0.0001230613440915796,-0.0001048774039699585,5.747403827902037e-05,0.004433865167873497
7,0.4000275275275275,0.0033476151364368076,20.0,59.96,29.0,9.0,1.8997972549302637,0.19187202499374353,0.9450884089683963,0.10398525166958862,0.1915739734432041,0.3601603714491108,0.0008131816094729827,0.005757525769361894,0.008073833062615712,0.001989103202825194,0.02920848947877236,0.020007210744897648,8.012727980915813,11.566201945455878,9.489846173781986,20.0,59.96,-1.5,0.0,0.43617142158167976,-0.05074374386599952,-0.017469219271141617,0.05782796904788759,0.058818051377536984,0.036959072354765615,0.00012480542403673283,-2.0631899307287655e-05,-5.1732114331879385e-05,0.004084293988940077
8,0.4000272772772775,0.0033753719786714176,20.0,59.96,29.0,9.0,1.8999596536908563,0.20238925238646555,0.9595655378391711,0.10692739927527037,0.19843381664541992,0.36887592195902347,0.0014336018840987081,0.006753093716161139,0.0076622641372994195,0.0035065144146231688,0.030030532839787495,0.01902226764446782,8.00409541784111,12.686140264509318,9.650838749555398,20.0,59.96,-1.4,0.0,0.44476751739381104,-0.049699374315260704,-0.021799549604153114,0.05759234084082643,0.05840492536504097,0.043027731484635734,0.0004688079246865954,2.6062861866276595e-05,0.00019334033905136277,0.0043027868954446
9,0.400029005006258,0.003430338030023945,20.0,59.95,29.0,9.0,1.8998994005971497,0.19686092383354634,0.9537831783026037,0.10676864512538123,0.19733365468336422,0.36197990928838625,0.00089672148599411,0.008880614878151444,0.006043984309185907,0.002193417909100006,0.03233594562186272,0.01519269736774391,8.010467136518583,14.818184286165048,10.608727509709848,20.0,59.95,-1.3,0.0,0.4122131415765187,-0.0457853568017597,-0.018997246602061174,0.06614677181950852,0.05983859976306379,0.050929217650408205,0.0007156285942555566,-0.0002029616685830594,-8.30340088502384e-05,0.0052742591369608766
10,0.40002787162162157,0.003346549186610404,20.0,59.96,29.0,9.0,1.8997510557791488,0.20001096955889638,0.9612860540769843,0.10729178135101773,0.19840884617144847,0.36696883891766785,0.0010493443639509226,0.00925932901093945,0.011810398551002724,0.002566695884522346,0.032819268163384846,0.029037235857260518,8.007643500031591,15.104578041979652,8.701051628628559,20.0,59.96,-1.2,0.0,0.3839060308563675,-0.04652665175051623,-0.010107607620968568,0.08654254343071834,0.06619811939719676,0.06724530745779568,0.0013653129921776842,0.0004936963352754127,0.0002072850489024767,0.008195841471116214
11,0.40002765265265267,0.003445741232636085,20.0,59.96,29.0,9.0,1.8998342215390565,0.19378700439422922,0.943688709370574,0.1056495350783208,0.19505318330294863,0.3616440534943888,0.0010648177602429318,0.006740247801147258,0.014875580360986781,0.002604540332089737,0.030017151222657225,0.036495496517768025,8.007423138496101,12.672234203572266,8.44242085500034,20.0,59.96,-1.1,0.0,0.33032532542402315,-0.03821584091029045,-0.00882307305687095,0.086689295416911,0.07196804446855637,0.06877819415695269,0.001860181710644804,0.00034989001236672765,0.00035797237505673406,0.00871134653327055
